rank,name,symbol,market_cap,price,circulating_supply,volume(24h),%1h,%24h,%7d,image_url
1,Bitcoin,BTC,"$1,685,866,625,407","$84,969.57","19,840,828 BTC","$10,469,854,349",0.14%,0.98%,2.66%,https://s2.coinmarketcap.com/static/img/coins/32x32/1.png
2,Ethereum,ETH,"$242,884,217,405","$2,013.35","120,636,793 ETH *","$6,823,673,312",0.09%,1.15%,6.76%,https://s2.coinmarketcap.com/static/img/coins/32x32/1027.png
3,Tether USDt,USDT,"$143,466,344,557",$0.9998,"143,487,285,486 USDT *","$36,050,278,618",0.00%,<0.01%,0.00%,https://s2.coinmarketcap.com/static/img/coins/32x32/825.png
4,XRP,XRP,"$140,450,143,496",$2.41,"58,158,111,605 XRP *","$1,944,231,644",0.53%,1.35%,5.80%,https://s2.coinmarketcap.com/static/img/coins/32x32/52.png
5,BNB,BNB,"$88,783,172,104",$623.15,"142,473,057 BNB *","$1,195,836,776",<0.01%,-0.56%,4.02%,https://s2.coinmarketcap.com/static/img/coins/32x32/1839.png
6,Solana,SOL,"$68,010,703,629",$133.19,"510,617,093 SOL *","$1,478,973,317",0.04%,2.83%,3.85%,https://s2.coinmarketcap.com/static/img/coins/32x32/5426.png
7,USDC,USDC,"$59,598,555,984",$1.00,"59,594,219,553 USDC *","$3,454,268,305",-0.01%,<0.01%,0.03%,https://s2.coinmarketcap.com/static/img/coins/32x32/3408.png
8,Dogecoin,DOGE,"$25,501,532,983",$0.1716,"148,548,586,384 DOGE","$512,280,065",0.51%,2.08%,2.81%,https://s2.coinmarketcap.com/static/img/coins/32x32/74.png
9,Cardano,ADA,"$25,055,519,278",$0.7110,"35,238,941,063 ADA *","$525,904,729",0.37%,0.52%,1.39%,https://s2.coinmarketcap.com/static/img/coins/32x32/2010.png
10,TRON,TRX,"$22,171,100,639",$0.2333,"95,010,085,012 TRX *","$496,371,810",-0.42%,-0.74%,8.89%,https://s2.coinmarketcap.com/static/img/coins/32x32/1958.png
11,Chainlink,LINK,"$9,494,339,410",$14.44,"657,099,970 LINK *","$216,479,516",0.65%,1.51%,7.61%,https://s2.coinmarketcap.com/static/img/coins/32x32/1975.png
12,Toncoin,TON,"$9,125,501,554",$3.67,"2,481,987,001 TON *","$122,146,240",-0.26%,1.41%,9.48%,https://s2.coinmarketcap.com/static/img/coins/32x32/11419.png
13,UNUS SED LEO,LEO,"$9,023,008,822",$9.76,"923,883,929 LEO *","$1,830,153",0.13%,0.60%,-0.42%,https://s2.coinmarketcap.com/static/img/coins/32x32/3957.png
14,Stellar,XLM,"$8,672,904,205",$0.2819,"30,757,928,547 XLM *","$151,604,593",0.82%,2.16%,7.21%,https://s2.coinmarketcap.com/static/img/coins/32x32/512.png
15,Avalanche,AVAX,"$8,138,243,816",$19.62,"414,733,555 AVAX *","$147,821,831",0.36%,1.21%,7.03%,https://s2.coinmarketcap.com/static/img/coins/32x32/5805.png
16,Hedera,HBAR,"$7,778,161,307",$0.1842,"42,219,399,510 HBAR *","$155,147,617",0.45%,0.64%,-1.26%,https://s2.coinmarketcap.com/static/img/coins/32x32/4642.png
17,Shiba Inu,SHIB,"$7,647,246,724",$0.00001297,"589,252,897,312,968 SHIB *","$120,559,657",0.31%,1.58%,2.42%,https://s2.coinmarketcap.com/static/img/coins/32x32/5994.png
